INFO:root:[session 1][epoch  1][iter 4000] loss: 5.2898, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.7727, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4100] loss: 5.2869, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1225, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4200] loss: 5.0907, lr: 1.00e-03
INFO:root:			wsddn_cls: 10.9800, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4300] loss: 5.0042, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.3393, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4400] loss: 5.1359, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.3767, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4500] loss: 5.4246, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.0295, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4600] loss: 5.0333, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.9408, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4700] loss: 4.8852, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9029, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4800] loss: 5.0411, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.4078, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 4900] loss: 4.8567, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.0501, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5000] loss: 5.1058, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.3568, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5100] loss: 5.2313, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3728, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5200] loss: 4.8720, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1317, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5300] loss: 5.1526, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.1885, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5400] loss: 5.2163, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0020, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5500] loss: 4.9235, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9076, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5600] loss: 4.9734, lr: 1.00e-03
INFO:root:			wsddn_cls: 9.2601, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 5700] loss: 5.3521, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.5487, wsddn_box 0.0000
